{'pitch': 357.80282376665525, 'yaw': 214.39580312285239, 'roll': 180.6518136039163}
{'pitch': 357.8505138549876, 'yaw': 214.11674891412233, 'roll': 180.66748205787232}
{'pitch': 357.8916224157244, 'yaw': 213.83989402630505, 'roll': 180.68517224782266}
{'pitch': 357.9304985718196, 'yaw': 213.57086653527656, 'roll': 180.70070409799527}
{'pitch': 357.9620201082826, 'yaw': 213.3183544416612, 'roll': 180.71881775967415}
{'pitch': 358.0064822919019, 'yaw': 213.08858687798198, 'roll': 180.7317404775838}
{'pitch': 358.04368739952804, 'yaw': 212.86881871124766, 'roll': 180.7426551198775}
{'pitch': 358.07715127103626, 'yaw': 212.65123620504772, 'roll': 180.751834894122}
{'pitch': 358.1049296503907, 'yaw': 212.45227279452524, 'roll': 180.752517913039}
{'pitch': 358.1295650755099, 'yaw': 212.25912870517564, 'roll': 180.75761323415983}
{'pitch': 358.16169343159197, 'yaw': 212.064618577992, 'roll': 180.7658641026772}
{'pitch': 358.1917663276207, 'yaw': 211.88079086667028, 'roll': 180.77533074486684}
{'pitch': 358.2242786684002, 'yaw': 211.6837945506288, 'roll': 180.78799391558803}
{'pitch': 358.26016394869094, 'yaw': 211.4912788386828, 'roll': 180.7956573878368}
{'pitch': 358.287721200671, 'yaw': 211.31577029777014, 'roll': 180.7969551237791}
{'pitch': 358.3237081867473, 'yaw': 211.15560236173334, 'roll': 180.7944279537862}
{'pitch': 358.35240394588465, 'yaw': 211.00546114339812, 'roll': 180.79595791616026}
{'pitch': 358.38304758959595, 'yaw': 210.86843388826932, 'roll': 180.79823919934304}
{'pitch': 358.4136751183296, 'yaw': 210.7547795404803, 'roll': 180.7995096145287}
{'pitch': 358.434191299049, 'yaw': 210.64582436284027, 'roll': 180.80430440732601}
{'pitch': 358.45557256591553, 'yaw': 210.53824888341256, 'roll': 180.8107521059025}
{'pitch': 358.4740940112322, 'yaw': 210.43930676309577, 'roll': 180.81102531346932}
{'pitch': 358.4999475579012, 'yaw': 210.3379467558128, 'roll': 180.8175003328025}
{'pitch': 358.5270065262369, 'yaw': 210.21698410561186, 'roll': 180.81232304941162}
{'pitch': 358.5452086602099, 'yaw': 210.0939314175249, 'roll': 180.81506878545798}
{'pitch': 358.56274111547907, 'yaw': 209.9707967671679, 'roll': 180.81299240795028}
{'pitch': 358.5769531383163, 'yaw': 209.85701947597386, 'roll': 180.81215912487156}
{'pitch': 358.5925686583062, 'yaw': 209.74167124127067, 'roll': 180.82165308781785}
{'pitch': 358.6059975572664, 'yaw': 209.6301479125027, 'roll': 180.82322403132696}
{'pitch': 358.6216096621618, 'yaw': 209.51101575299933, 'roll': 180.83162516400608}
{'pitch': 358.6373264610505, 'yaw': 209.4013502356856, 'roll': 180.82852425812288}
