p: 19.1878540674, r: 9.41926372869, y: 204.293830397
p: 9.65077042928, r: 5.18112067652, y: 198.018102323
p: 9.70964836748, r: 3.86102013356, y: 194.966401123
p: 8.62497334614, r: 3.71871826484, y: 191.562849558
p: 2.99003014173, r: 2.50128421628, y: 187.731195396
p: 354.442538035, r: 0.874458020379, y: 188.539439001
p: 341.592676045, r: 357.890379748, y: 191.714261191
p: 324.556632095, r: 354.503166636, y: 190.124930813
p: 311.810553122, r: 358.428093754, y: 184.989420859
p: 302.48406983, r: 4.33129957537, y: 178.33122587
p: 300.251137556, r: 1.51596571565, y: 189.373145551
p: 297.990064903, r: 359.959244955, y: 199.068161946
p: 284.903962038, r: 15.2587638417, y: 191.56799952
p: 280.338164993, r: 25.973816055, y: 191.008087933
p: 279.732661893, r: 66.5407274226, y: 159.349132959
p: 279.289860729, r: 53.1922325956, y: 179.307082318
p: 278.42443478, r: 37.60810074, y: 202.485469512
p: 277.7070122, r: 42.4664791834, y: 205.435168668
p: 275.849282708, r: 53.7024887077, y: 201.710994362
p: 274.187921155, r: 118.707103171, y: 143.680351154
p: 299.084643699, r: 173.511216014, y: 91.8584833173
p: 316.273456783, r: 173.242939844, y: 96.4627274971
p: 342.009389302, r: 179.195900498, y: 102.193522588
p: 357.72357607, r: 180.684325304, y: 106.602976603
p: 5.69179684529, r: 185.905854661, y: 108.267964987
p: 6.27330677151, r: 185.158140192, y: 113.177388849
p: 3.9730625567, r: 177.516835095, y: 117.641183849
p: 3.81643735441, r: 171.961828582, y: 124.429408337
p: 4.79148869334, r: 161.282718532, y: 130.236763018
p: 2.71810707738, r: 149.290135784, y: 135.332371007
p: 4.75020318801, r: 135.625427104, y: 137.795460165
p: 5.8282772584, r: 114.644752539, y: 143.160300551
p: 8.29141166651, r: 98.9737031115, y: 152.33373638
p: 12.4374816342, r: 84.2446665438, y: 149.380581148
p: 13.3233759526, r: 81.0241367275, y: 154.113710998
p: 13.7560317243, r: 85.4893660672, y: 163.789548222
p: 15.5290275969, r: 89.48063492, y: 166.588368498
p: 17.2679613162, r: 94.864196854, y: 165.604425107
p: 16.2270729301, r: 93.7939608526, y: 165.39331762
p: 20.4858495569, r: 90.2517769377, y: 166.113041973
p: 42.5121663188, r: 88.1667592407, y: 161.03170908
p: 65.9144605475, r: 87.3318095958, y: 163.789438939
p: 83.8726944416, r: 93.196817904, y: 177.911729312
p: 80.8667896596, r: 275.545120724, y: 4.25522492839
p: 72.714808621, r: 287.743695148, y: 20.5627574869
p: 70.5271536713, r: 287.807222737, y: 22.1274206371
p: 67.8628608007, r: 296.09800005, y: 32.0553652655
p: 72.527490683, r: 288.981653274, y: 26.5081759047
p: 75.5496513152, r: 285.822069236, y: 24.9249739136
p: 74.4908012392, r: 283.800032714, y: 23.2947665606
p: 70.7470721022, r: 271.351999291, y: 14.2762991862
p: 58.9966537108, r: 256.679680614, y: 3.91876127214
p: 44.0372621831, r: 257.518386863, y: 7.3473992685
p: 12.9224728766, r: 263.428392457, y: 20.724117291
p: 353.196761903, r: 263.024147711, y: 32.3090692272
p: 352.020487214, r: 257.181378499, y: 45.9639390196
p: 354.216376384, r: 257.027385054, y: 51.234898455
p: 354.231980805, r: 258.142249511, y: 51.255190947
p: 355.173841266, r: 257.290504431, y: 52.5715903812
p: 358.936649256, r: 261.266002377, y: 57.4598338268
p: 356.31504891, r: 264.633039751, y: 60.5371687271
p: 357.389329237, r: 277.338318589, y: 62.2108382813
p: 357.635328532, r: 294.90615253, y: 62.3119865528
p: 354.381850096, r: 322.326045991, y: 58.7022588972
p: 356.416761952, r: 340.285027791, y: 58.9808349926
p: 355.493719089, r: 344.147569776, y: 62.5206693225
